Search Keyword,Category,Keyword,Count,Total_jobs,Frequency
BI Analyst,BI Tools,power bi,407,762,53.41
BI Analyst,Programming Languages/Software,sql,372,762,48.82
BI Analyst,Programming Languages/Software,excel,306,762,40.16
BI Analyst,BI Tools,tableau,270,762,35.43
BI Analyst,Programming Languages/Software,python,243,762,31.89
BI Analyst,Programming Languages/Software,c++,162,762,21.26
BI Analyst,Programming Languages/Software,r,123,762,16.14
BI Analyst,Cloud Computing,azure,90,762,11.81
BI Analyst,Cloud Computing,aws,75,762,9.84
BI Analyst,BI Tools,sap,68,762,8.92
BI Analyst,Programming Languages/Software,go,61,762,8.01
BI Analyst,Big Data Technologies,snowflake,54,762,7.09
BI Analyst,Cloud Computing,gcp,53,762,6.96
BI Analyst,Collaboration Tools,jira,45,762,5.91
BI Analyst,BI Tools,qlik,44,762,5.77
BI Analyst,Big Data Technologies,spark,43,762,5.64
BI Analyst,DBMS,oracle,42,762,5.51
BI Analyst,Big Data Technologies,bigquery,33,762,4.33
BI Analyst,Data Science Platforms,informatica,32,762,4.2
BI Analyst,Programming Languages/Software,java,31,762,4.07
BI Analyst,BI Tools,looker,29,762,3.81
BI Analyst,Data Science Platforms,databricks,28,762,3.67
BI Analyst,Data Science Platforms,alteryx,26,762,3.41
BI Analyst,Programming Languages/Software,scala,25,762,3.28
BI Analyst,Big Data Technologies,redshift,23,762,3.02
BI Analyst,Collaboration Tools,notion,23,762,3.02
BI Analyst,Cloud Computing,google cloud,20,762,2.62
BI Analyst,Containerization/Orchestration,kubernetes,18,762,2.36
BI Analyst,Version Control,git,18,762,2.36
BI Analyst,Big Data Technologies,kafka,17,762,2.23
BI Analyst,Data Science Platforms,dataiku,17,762,2.23
BI Analyst,Workflow Management,airflow,17,762,2.23
BI Analyst,Big Data Technologies,hadoop,16,762,2.1
BI Analyst,Data Science Platforms,talend,15,762,1.97
BI Analyst,Development Tools,docker,14,762,1.84
BI Analyst,Collaboration Tools,confluence,13,762,1.71
BI Analyst,Programming Languages/Software,javascript,13,762,1.71
BI Analyst,Version Control,github,12,762,1.57
BI Analyst,DBMS,postgresql,10,762,1.31
BI Analyst,BI Tools,looker studio,8,762,1.05
BI Analyst,ML and Statistical Modeling,pytorch,8,762,1.05
BI Analyst,Programming Languages/Software,sas,8,762,1.05
BI Analyst,BI Tools,metabase,7,762,0.92
BI Analyst,DBMS,mysql,7,762,0.92
BI Analyst,ML and Statistical Modeling,tensorflow,7,762,0.92
BI Analyst,Big Data Technologies,hive,6,762,0.79
BI Analyst,DBMS,mongodb,6,762,0.79
BI Analyst,Version Control,gitlab,6,762,0.79
BI Analyst,ML and Statistical Modeling,sagemaker,5,762,0.66
BI Analyst,Programming Languages/Software,matlab,5,762,0.66
BI Analyst,Programming Languages/Software,swift,5,762,0.66
BI Analyst,DBMS,microsoft sql server,4,762,0.52
BI Analyst,ML and Statistical Modeling,scikit-learn,4,762,0.52
BI Analyst,ML and Statistical Modeling,xgboost,4,762,0.52
BI Analyst,Big Data Technologies,storm,3,762,0.39
BI Analyst,Data Science Platforms,mlflow,3,762,0.39
BI Analyst,ML and Statistical Modeling,lightgbm,3,762,0.39
BI Analyst,Programming Languages/Software,php,3,762,0.39
BI Analyst,Programming Languages/Software,stata,3,762,0.39
BI Analyst,Collaboration Tools,asana,2,762,0.26
BI Analyst,Collaboration Tools,slack,2,762,0.26
BI Analyst,DBMS,db2,2,762,0.26
BI Analyst,Data Science Platforms,knime,2,762,0.26
BI Analyst,Data Visualization Tools,plotly,2,762,0.26
BI Analyst,Programming Languages/Software,bash,2,762,0.26
BI Analyst,Version Control,bitbucket,2,762,0.26
BI Analyst,BI Tools,superset,1,762,0.13
BI Analyst,Cloud Computing,ibm cloud,1,762,0.13
BI Analyst,Cloud Computing,oracle cloud,1,762,0.13
BI Analyst,Collaboration Tools,trello,1,762,0.13
BI Analyst,DBMS,cassandra,1,762,0.13
BI Analyst,DBMS,redis,1,762,0.13
BI Analyst,Data Science Platforms,datarobot,1,762,0.13
BI Analyst,Data Visualization Tools,d3.js,1,762,0.13
BI Analyst,Development Tools,jupyter,1,762,0.13
BI Analyst,ML and Statistical Modeling,vertex ai,1,762,0.13
BI Analyst,Programming Languages/Software,kotlin,1,762,0.13
Data Analyst,Programming Languages/Software,excel,317,800,39.62
Data Analyst,Programming Languages/Software,sql,246,800,30.75
Data Analyst,Programming Languages/Software,c++,174,800,21.75
Data Analyst,BI Tools,tableau,157,800,19.62
Data Analyst,Programming Languages/Software,python,155,800,19.38
Data Analyst,Programming Languages/Software,r,119,800,14.88
Data Analyst,BI Tools,power bi,58,800,7.25
Data Analyst,BI Tools,sap,50,800,6.25
Data Analyst,Data Science Platforms,informatica,43,800,5.38
Data Analyst,DBMS,oracle,42,800,5.25
Data Analyst,Programming Languages/Software,go,38,800,4.75
Data Analyst,Collaboration Tools,jira,33,800,4.12
Data Analyst,Cloud Computing,azure,31,800,3.88
Data Analyst,Cloud Computing,aws,27,800,3.38
Data Analyst,Programming Languages/Software,java,26,800,3.25
Data Analyst,BI Tools,looker,24,800,3.0
Data Analyst,BI Tools,qlik,24,800,3.0
Data Analyst,Programming Languages/Software,javascript,22,800,2.75
Data Analyst,Big Data Technologies,bigquery,17,800,2.12
Data Analyst,Collaboration Tools,notion,17,800,2.12
Data Analyst,Collaboration Tools,confluence,15,800,1.88
Data Analyst,Big Data Technologies,snowflake,14,800,1.75
Data Analyst,Data Science Platforms,alteryx,12,800,1.5
Data Analyst,Programming Languages/Software,stata,12,800,1.5
Data Analyst,Version Control,git,12,800,1.5
Data Analyst,Cloud Computing,gcp,11,800,1.38
Data Analyst,Big Data Technologies,spark,10,800,1.25
Data Analyst,DBMS,postgresql,10,800,1.25
Data Analyst,Programming Languages/Software,bash,10,800,1.25
Data Analyst,Version Control,github,10,800,1.25
Data Analyst,DBMS,mysql,9,800,1.12
Data Analyst,Programming Languages/Software,scala,9,800,1.12
Data Analyst,Big Data Technologies,redshift,8,800,1.0
Data Analyst,Cloud Computing,google cloud,8,800,1.0
Data Analyst,Data Science Platforms,databricks,7,800,0.88
Data Analyst,Development Tools,docker,7,800,0.88
Data Analyst,Data Science Platforms,dataiku,6,800,0.75
Data Analyst,Data Science Platforms,talend,6,800,0.75
Data Analyst,DBMS,mongodb,5,800,0.62
Data Analyst,Data Visualization Tools,matplotlib,5,800,0.62
Data Analyst,Data Visualization Tools,seaborn,5,800,0.62
Data Analyst,BI Tools,looker studio,4,800,0.5
Data Analyst,DBMS,microsoft sql server,4,800,0.5
Data Analyst,Programming Languages/Software,matlab,4,800,0.5
Data Analyst,Workflow Management,airflow,4,800,0.5
Data Analyst,BI Tools,superset,3,800,0.38
Data Analyst,Big Data Technologies,hadoop,3,800,0.38
Data Analyst,Big Data Technologies,hive,3,800,0.38
Data Analyst,Big Data Technologies,kafka,3,800,0.38
Data Analyst,Cloud Computing,oracle cloud,3,800,0.38
Data Analyst,Collaboration Tools,slack,3,800,0.38
Data Analyst,Development Tools,eclipse,3,800,0.38
Data Analyst,Development Tools,netbeans,3,800,0.38
Data Analyst,ML and Statistical Modeling,scikit-learn,3,800,0.38
Data Analyst,Programming Languages/Software,php,3,800,0.38
Data Analyst,Programming Languages/Software,sas,3,800,0.38
Data Analyst,Programming Languages/Software,swift,3,800,0.38
Data Analyst,BI Tools,metabase,2,800,0.25
Data Analyst,Data Science Platforms,knime,2,800,0.25
Data Analyst,ML and Statistical Modeling,statsmodels,2,800,0.25
Data Analyst,Programming Languages/Software,ruby,2,800,0.25
Data Analyst,Programming Languages/Software,rust,2,800,0.25
Data Analyst,Version Control,gitlab,2,800,0.25
Data Analyst,BI Tools,thoughtspot,1,800,0.12
Data Analyst,Big Data Technologies,flink,1,800,0.12
Data Analyst,Big Data Technologies,hdfs,1,800,0.12
Data Analyst,Collaboration Tools,asana,1,800,0.12
Data Analyst,Collaboration Tools,trello,1,800,0.12
Data Analyst,Containerization/Orchestration,kubernetes,1,800,0.12
Data Analyst,DBMS,firebase,1,800,0.12
Data Analyst,Data Visualization Tools,d3.js,1,800,0.12
Data Analyst,Data Visualization Tools,plotly,1,800,0.12
Data Analyst,Development Tools,rstudio,1,800,0.12
Data Analyst,ML and Statistical Modeling,pytorch,1,800,0.12
Data Analyst,ML and Statistical Modeling,tensorflow,1,800,0.12
Data Analyst,ML and Statistical Modeling,xgboost,1,800,0.12
Data Analyst,Programming Languages/Software,typescript,1,800,0.12
Data Analyst,Version Control,bitbucket,1,800,0.12
Data Scientist,Programming Languages/Software,python,469,744,63.04
Data Scientist,Programming Languages/Software,sql,309,744,41.53
Data Scientist,Programming Languages/Software,r,195,744,26.21
Data Scientist,Programming Languages/Software,c++,183,744,24.6
Data Scientist,Cloud Computing,aws,154,744,20.7
Data Scientist,Cloud Computing,azure,140,744,18.82
Data Scientist,ML and Statistical Modeling,pytorch,121,744,16.26
Data Scientist,ML and Statistical Modeling,tensorflow,120,744,16.13
Data Scientist,Programming Languages/Software,java,109,744,14.65
Data Scientist,Big Data Technologies,spark,108,744,14.52
Data Scientist,BI Tools,tableau,103,744,13.84
Data Scientist,Version Control,git,87,744,11.69
Data Scientist,Programming Languages/Software,excel,84,744,11.29
Data Scientist,Development Tools,docker,71,744,9.54
Data Scientist,Cloud Computing,gcp,70,744,9.41
Data Scientist,ML and Statistical Modeling,scikit-learn,69,744,9.27
Data Scientist,Data Science Platforms,informatica,68,744,9.14
Data Scientist,Programming Languages/Software,scala,63,744,8.47
Data Scientist,Containerization/Orchestration,kubernetes,62,744,8.33
Data Scientist,BI Tools,power bi,59,744,7.93
Data Scientist,Cloud Computing,google cloud,55,744,7.39
Data Scientist,Programming Languages/Software,javascript,49,744,6.59
Data Scientist,Big Data Technologies,hadoop,48,744,6.45
Data Scientist,Programming Languages/Software,go,48,744,6.45
Data Scientist,Data Science Platforms,databricks,38,744,5.11
Data Scientist,Workflow Management,airflow,32,744,4.3
Data Scientist,Big Data Technologies,kafka,31,744,4.17
Data Scientist,Big Data Technologies,snowflake,31,744,4.17
Data Scientist,Collaboration Tools,jira,28,744,3.76
Data Scientist,Programming Languages/Software,typescript,28,744,3.76
Data Scientist,Big Data Technologies,bigquery,26,744,3.49
Data Scientist,DBMS,oracle,26,744,3.49
Data Scientist,Big Data Technologies,hive,23,744,3.09
Data Scientist,ML and Statistical Modeling,sagemaker,19,744,2.55
Data Scientist,Programming Languages/Software,matlab,19,744,2.55
Data Scientist,BI Tools,looker,18,744,2.42
Data Scientist,BI Tools,qlik,18,744,2.42
Data Scientist,BI Tools,sap,18,744,2.42
Data Scientist,DBMS,mongodb,18,744,2.42
Data Scientist,Version Control,github,18,744,2.42
Data Scientist,Data Science Platforms,dataiku,17,744,2.28
Data Scientist,Data Science Platforms,mlflow,16,744,2.15
Data Scientist,DBMS,postgresql,15,744,2.02
Data Scientist,Development Tools,jupyter,15,744,2.02
Data Scientist,DBMS,mysql,14,744,1.88
Data Scientist,Big Data Technologies,redshift,13,744,1.75
Data Scientist,ML and Statistical Modeling,xgboost,12,744,1.61
Data Scientist,Data Science Platforms,talend,11,744,1.48
Data Scientist,Programming Languages/Software,php,10,744,1.34
Data Scientist,Version Control,gitlab,10,744,1.34
Data Scientist,Workflow Management,kubeflow,10,744,1.34
Data Scientist,Data Visualization Tools,matplotlib,9,744,1.21
Data Scientist,ML and Statistical Modeling,vertex ai,9,744,1.21
Data Scientist,Containerization/Orchestration,openshift,8,744,1.08
Data Scientist,Programming Languages/Software,bash,8,744,1.08
Data Scientist,Collaboration Tools,confluence,7,744,0.94
Data Scientist,DBMS,cassandra,7,744,0.94
Data Scientist,Data Visualization Tools,seaborn,7,744,0.94
Data Scientist,Collaboration Tools,notion,6,744,0.81
Data Scientist,DBMS,redis,6,744,0.81
Data Scientist,Programming Languages/Software,kotlin,6,744,0.81
Data Scientist,Programming Languages/Software,stata,6,744,0.81
Data Scientist,Big Data Technologies,flink,5,744,0.67
Data Scientist,DBMS,neo4j,5,744,0.67
Data Scientist,Data Science Platforms,alteryx,5,744,0.67
Data Scientist,Programming Languages/Software,rust,4,744,0.54
Data Scientist,DBMS,microsoft sql server,3,744,0.4
Data Scientist,Data Science Platforms,knime,3,744,0.4
Data Scientist,ML and Statistical Modeling,keras,3,744,0.4
Data Scientist,Programming Languages/Software,ruby,3,744,0.4
Data Scientist,BI Tools,looker studio,2,744,0.27
Data Scientist,Data Visualization Tools,d3.js,2,744,0.27
Data Scientist,Data Visualization Tools,plotly,2,744,0.27
Data Scientist,Development Tools,rstudio,2,744,0.27
Data Scientist,ML and Statistical Modeling,statsmodels,2,744,0.27
Data Scientist,Programming Languages/Software,sas,2,744,0.27
Data Scientist,Version Control,bitbucket,2,744,0.27
Data Scientist,BI Tools,metabase,1,744,0.13
Data Scientist,BI Tools,superset,1,744,0.13
Data Scientist,BI Tools,thoughtspot,1,744,0.13
Data Scientist,Big Data Technologies,apache nifi,1,744,0.13
Data Scientist,Big Data Technologies,hdfs,1,744,0.13
Data Scientist,Big Data Technologies,spark streaming,1,744,0.13
Data Scientist,Cloud Computing,ibm cloud,1,744,0.13
Data Scientist,DBMS,couchbase,1,744,0.13
Data Scientist,Data Science Platforms,rapidminer,1,744,0.13
Data Scientist,Data Visualization Tools,ggplot2,1,744,0.13
Data Scientist,Development Tools,pycharm,1,744,0.13
Data Scientist,Development Tools,vscode,1,744,0.13
Data Scientist,ML and Statistical Modeling,catboost,1,744,0.13
Data Scientist,ML and Statistical Modeling,lightgbm,1,744,0.13
Data Scientist,Programming Languages/Software,swift,1,744,0.13
Data Scientist,Workflow Management,luigi,1,744,0.13
Data Scientist,Workflow Management,prefect,1,744,0.13
Product Analyst,Programming Languages/Software,excel,163,721,22.61
Product Analyst,Programming Languages/Software,sql,154,721,21.36
Product Analyst,Programming Languages/Software,c++,147,721,20.39
Product Analyst,Programming Languages/Software,python,115,721,15.95
Product Analyst,Programming Languages/Software,go,75,721,10.4
Product Analyst,Collaboration Tools,jira,72,721,9.99
Product Analyst,Programming Languages/Software,r,70,721,9.71
Product Analyst,BI Tools,tableau,44,721,6.1
Product Analyst,Cloud Computing,aws,43,721,5.96
Product Analyst,Collaboration Tools,confluence,42,721,5.83
Product Analyst,Programming Languages/Software,java,39,721,5.41
Product Analyst,Cloud Computing,azure,34,721,4.72
Product Analyst,BI Tools,sap,27,721,3.74
Product Analyst,Version Control,git,26,721,3.61
Product Analyst,BI Tools,looker,22,721,3.05
Product Analyst,Big Data Technologies,spark,22,721,3.05
Product Analyst,Big Data Technologies,bigquery,21,721,2.91
Product Analyst,Development Tools,docker,21,721,2.91
Product Analyst,Cloud Computing,gcp,20,721,2.77
Product Analyst,Big Data Technologies,snowflake,19,721,2.64
Product Analyst,DBMS,oracle,18,721,2.5
Product Analyst,Workflow Management,airflow,16,721,2.22
Product Analyst,Cloud Computing,google cloud,15,721,2.08
Product Analyst,DBMS,postgresql,15,721,2.08
Product Analyst,Programming Languages/Software,javascript,14,721,1.94
Product Analyst,Big Data Technologies,redshift,13,721,1.8
Product Analyst,Version Control,github,13,721,1.8
Product Analyst,Collaboration Tools,notion,12,721,1.66
Product Analyst,Containerization/Orchestration,kubernetes,11,721,1.53
Product Analyst,DBMS,mysql,11,721,1.53
Product Analyst,Data Science Platforms,databricks,11,721,1.53
Product Analyst,Version Control,gitlab,11,721,1.53
Product Analyst,Data Science Platforms,informatica,10,721,1.39
Product Analyst,BI Tools,metabase,9,721,1.25
Product Analyst,Programming Languages/Software,swift,9,721,1.25
Product Analyst,BI Tools,power bi,8,721,1.11
Product Analyst,Big Data Technologies,kafka,8,721,1.11
Product Analyst,Programming Languages/Software,scala,7,721,0.97
Product Analyst,Programming Languages/Software,typescript,7,721,0.97
Product Analyst,DBMS,mongodb,6,721,0.83
Product Analyst,Programming Languages/Software,php,6,721,0.83
Product Analyst,BI Tools,looker studio,5,721,0.69
Product Analyst,Big Data Technologies,hadoop,5,721,0.69
Product Analyst,Data Science Platforms,alteryx,5,721,0.69
Product Analyst,BI Tools,qlik,4,721,0.55
Product Analyst,DBMS,db2,4,721,0.55
Product Analyst,Data Science Platforms,dataiku,4,721,0.55
Product Analyst,Collaboration Tools,slack,3,721,0.42
Product Analyst,DBMS,firebase,3,721,0.42
Product Analyst,Data Science Platforms,talend,3,721,0.42
Product Analyst,ML and Statistical Modeling,tensorflow,3,721,0.42
Product Analyst,Programming Languages/Software,julia,3,721,0.42
Product Analyst,Programming Languages/Software,matlab,3,721,0.42
Product Analyst,BI Tools,superset,2,721,0.28
Product Analyst,BI Tools,thoughtspot,2,721,0.28
Product Analyst,Big Data Technologies,hdfs,2,721,0.28
Product Analyst,Collaboration Tools,asana,2,721,0.28
Product Analyst,Collaboration Tools,trello,2,721,0.28
Product Analyst,Development Tools,jupyter,2,721,0.28
Product Analyst,ML and Statistical Modeling,pytorch,2,721,0.28
Product Analyst,ML and Statistical Modeling,scikit-learn,2,721,0.28
Product Analyst,Programming Languages/Software,bash,2,721,0.28
Product Analyst,Big Data Technologies,apache nifi,1,721,0.14
Product Analyst,Big Data Technologies,hive,1,721,0.14
Product Analyst,Cloud Computing,heroku,1,721,0.14
Product Analyst,Cloud Computing,ibm cloud,1,721,0.14
Product Analyst,Cloud Computing,oracle cloud,1,721,0.14
Product Analyst,DBMS,couchdb,1,721,0.14
Product Analyst,DBMS,mariadb,1,721,0.14
Product Analyst,DBMS,microsoft sql server,1,721,0.14
Product Analyst,DBMS,neo4j,1,721,0.14
Product Analyst,DBMS,redis,1,721,0.14
Product Analyst,Data Science Platforms,mlflow,1,721,0.14
Product Analyst,Data Visualization Tools,d3.js,1,721,0.14
Product Analyst,Development Tools,eclipse,1,721,0.14
Product Analyst,Development Tools,vscode,1,721,0.14
Product Analyst,Programming Languages/Software,kotlin,1,721,0.14
Product Analyst,Programming Languages/Software,ruby,1,721,0.14
Product Analyst,Programming Languages/Software,sas,1,721,0.14
Product Analyst,Version Control,bitbucket,1,721,0.14
